iter	MultiClass
0	1.536534951
1	1.479608856
2	1.436461959
3	1.390229896
4	1.347376525
5	1.316926694
6	1.283620914
7	1.2567025
8	1.235654564
9	1.214878836
10	1.194741322
11	1.174859581
12	1.160666756
13	1.145589232
14	1.129825549
15	1.115265176
16	1.104969856
17	1.096117666
18	1.084032583
19	1.074654505
20	1.063158534
21	1.057583063
22	1.051628558
23	1.042584969
24	1.037809046
25	1.030116665
26	1.021525992
27	1.014148725
28	1.009870195
29	1.0023878
30	0.9973798974
31	0.991455315
32	0.9874455002
33	0.9827776863
34	0.9798034564
35	0.9760525113
36	0.9742992433
37	0.9691807693
38	0.9648585266
39	0.9621419896
40	0.9573469578
41	0.9535871938
42	0.9494917985
43	0.9463285885
44	0.9423733427
45	0.9375410016
46	0.9350097434
47	0.9322692821
48	0.9304586206
49	0.9278972991
50	0.925203871
51	0.9218586109
52	0.9202537817
53	0.9179746132
54	0.9160271071
55	0.9127399097
56	0.9104335186
57	0.9071193496
58	0.9049324069
59	0.9028424907
60	0.9008888537
61	0.8985863643
62	0.8968928729
63	0.8946916329
64	0.8932108398
65	0.8902492324
66	0.8877358047
67	0.8852142755
68	0.8827015304
69	0.8816768908
70	0.8799039629
71	0.8779479607
72	0.8760875741
73	0.8737927226
74	0.8705307808
75	0.8686654701
76	0.8672160898
77	0.8651638678
78	0.8626342078
79	0.8606299426
80	0.8589467798
81	0.8573659935
82	0.8556058502
83	0.8540016588
84	0.850552324
85	0.8484634668
86	0.8473100726
87	0.8445697267
88	0.8425633394
89	0.8404747582
90	0.8381096322
91	0.8367099822
92	0.8359354805
93	0.8335130878
94	0.8315404481
95	0.829403454
96	0.8275333936
97	0.8262681037
98	0.8240437558
99	0.8228711716
100	0.8214973596
101	0.8186677822
102	0.8172212421
103	0.8157156112
104	0.814319002
105	0.8129920239
106	0.8117458575
107	0.8094152427
108	0.8070620378
109	0.8048805455
110	0.803721669
111	0.8018080742
112	0.8007115432
113	0.7991799873
114	0.7975002427
115	0.7964729604
116	0.7950917254
117	0.7932921785
118	0.7914003764
119	0.7901625941
120	0.7882192515
121	0.7868963495
122	0.785948199
123	0.7845789215
124	0.7836089174
125	0.7825702538
126	0.781208347
127	0.7799225603
128	0.7782202088
129	0.7767691756
130	0.7758770227
131	0.7744827592
132	0.7726856679
133	0.7716875778
134	0.7705099361
135	0.7690762084
136	0.7680344041
137	0.7668975378
138	0.7652990462
139	0.7640312589
140	0.7625680603
141	0.76170815
142	0.7603997695
143	0.7593450092
144	0.7582829455
145	0.7571449331
146	0.756442311
147	0.7553238543
148	0.7543141384
149	0.7534676021
150	0.7524770115
151	0.7514187521
152	0.7504206403
153	0.7494596694
154	0.748568153
155	0.7476214547
156	0.7461139892
157	0.7449251683
158	0.7443157189
159	0.7436825258
160	0.7426858935
161	0.7417392283
162	0.7406304523
163	0.7391806571
164	0.7383480132
165	0.7376907818
166	0.7368117752
167	0.7359337509
168	0.7353637112
169	0.7342928882
170	0.7336443189
171	0.7331806471
172	0.7323505634
173	0.7317085977
174	0.7303389916
175	0.7293347061
176	0.7288692488
177	0.7281630861
178	0.7274803611
179	0.7267647664
180	0.72612084
181	0.7255748447
182	0.7251862675
183	0.7242120869
184	0.7237609124
185	0.722240919
186	0.7210731858
187	0.7208574654
188	0.7198706918
189	0.7187133925
190	0.7183541401
191	0.7180231107
192	0.717301671
193	0.7159275127
194	0.7154243482
195	0.7141844123
196	0.7136306507
197	0.7127332108
198	0.7123114736
199	0.711934381
200	0.7117146322
201	0.7114792993
202	0.710926727
203	0.7106516161
204	0.7095466988
205	0.7093326686
206	0.7088603783
207	0.7084047109
208	0.7077399098
209	0.7069927164
210	0.7065119807
211	0.706344833
212	0.706013293
213	0.7052029184
214	0.7049690734
215	0.7045649471
216	0.7044237542
217	0.7040654421
218	0.7033388811
219	0.7030547932
220	0.702428637
221	0.7019399796
222	0.7012647134
223	0.7005785346
224	0.6999999843
225	0.6994401597
226	0.6987765274
227	0.6977122154
228	0.6975054102
229	0.6963070826
230	0.6952998486
231	0.6948806649
232	0.6943939126
233	0.6934653398
234	0.6927362867
235	0.6916077729
236	0.6904248015
237	0.6891528391
238	0.6885711533
239	0.6872355333
240	0.6868306605
241	0.6861910878
242	0.6856779865
243	0.6852848329
244	0.6851210203
245	0.6843665263
246	0.683825044
247	0.6833037367
248	0.6826914314
249	0.6821995168
250	0.6811785069
251	0.6806932773
252	0.6803664057
253	0.6801774616
254	0.6799174639
255	0.6795784266
256	0.678610668
257	0.6776008062
258	0.6770843864
259	0.6764740173
260	0.6760568721
