iter	Passed	Remaining
0	12	12287
1	22	11239
2	33	11164
3	43	10877
4	54	10882
5	64	10649
6	75	10704
7	85	10578
8	96	10609
9	108	10699
10	120	10808
11	131	10787
12	140	10660
13	151	10660
14	160	10544
15	170	10516
16	183	10611
17	197	10749
18	210	10870
19	222	10885
20	233	10886
21	246	10940
22	258	10985
23	270	11010
24	284	11079
25	294	11037
26	304	10984
27	315	10937
28	326	10928
29	336	10867
30	347	10849
31	357	10822
32	368	10805
33	379	10791
34	389	10730
35	400	10715
36	411	10697
37	422	10684
38	433	10689
39	445	10701
40	459	10741
41	470	10742
42	481	10712
43	490	10662
44	500	10630
45	510	10581
46	520	10546
47	529	10508
48	539	10467
49	551	10472
50	562	10461
51	573	10460
52	584	10436
53	593	10403
54	603	10377
55	614	10357
56	626	10358
57	637	10352
58	648	10350
59	659	10325
60	669	10299
61	678	10269
62	688	10234
63	698	10221
64	708	10195
65	718	10170
66	728	10144
67	739	10129
68	750	10122
69	762	10124
70	775	10143
71	787	10144
72	798	10140
73	810	10140
74	823	10156
75	835	10153
76	848	10167
77	861	10179
78	873	10178
79	883	10158
80	896	10167
81	908	10170
82	920	10172
83	931	10153
84	943	10161
85	954	10145
86	967	10155
87	980	10164
88	993	10169
89	1006	10172
90	1020	10189
91	1033	10197
92	1047	10212
93	1060	10221
94	1071	10204
95	1082	10198
96	1096	10203
97	1106	10180
98	1118	10180
99	1132	10188
100	1145	10197
101	1158	10198
102	1171	10199
103	1183	10193
104	1194	10181
105	1207	10184
106	1219	10181
107	1233	10187
108	1247	10194
109	1259	10193
110	1274	10210
111	1288	10213
112	1300	10210
113	1314	10219
114	1329	10231
115	1343	10236
116	1356	10235
117	1368	10225
118	1378	10205
119	1392	10208
120	1404	10201
121	1417	10201
122	1428	10186
123	1441	10184
124	1454	10182
125	1467	10176
126	1479	10170
127	1492	10169
128	1504	10156
129	1515	10143
130	1528	10136
131	1540	10131
132	1553	10127
133	1563	10105
134	1575	10094
135	1585	10074
136	1598	10066
137	1608	10046
138	1620	10039
139	1632	10025
140	1644	10020
141	1658	10020
142	1671	10018
143	1684	10013
144	1695	10000
145	1706	9984
146	1719	9980
147	1733	9976
148	1742	9953
149	1756	9952
150	1768	9943
151	1779	9929
152	1790	9912
153	1803	9906
154	1814	9894
155	1826	9880
156	1838	9874
157	1852	9873
158	1866	9874
159	1879	9868
160	1892	9862
161	1904	9849
162	1914	9831
163	1928	9828
164	1940	9818
165	1954	9817
166	1965	9804
167	1976	9787
168	1988	9779
169	2000	9764
170	2010	9748
171	2023	9740
172	2036	9732
173	2046	9716
174	2060	9714
175	2074	9713
176	2085	9695
177	2098	9688
178	2110	9681
179	2123	9672
180	2133	9655
181	2146	9646
182	2159	9639
183	2169	9623
184	2181	9611
185	2194	9604
186	2207	9598
187	2221	9597
188	2235	9590
189	2247	9581
190	2261	9578
191	2274	9572
192	2285	9557
193	2297	9546
194	2309	9535
195	2322	9525
196	2333	9513
197	2345	9502
198	2357	9491
199	2370	9481
200	2381	9466
201	2392	9452
202	2403	9437
203	2415	9424
204	2428	9415
205	2440	9406
206	2452	9396
207	2466	9389
208	2477	9377
209	2490	9368
210	2502	9357
211	2513	9343
212	2525	9329
213	2537	9318
214	2548	9306
215	2559	9289
216	2571	9278
217	2584	9269
218	2596	9258
219	2606	9240
220	2619	9233
221	2632	9223
222	2642	9206
223	2654	9194
224	2666	9186
225	2682	9186
226	2694	9174
227	2708	9171
228	2721	9163
229	2735	9158
230	2749	9152
231	2763	9146
232	2775	9138
233	2787	9124
234	2798	9109
235	2810	9098
236	2822	9086
237	2837	9084
238	2849	9074
239	2863	9066
240	2876	9060
241	2888	9046
242	2900	9035
243	2913	9026
244	2926	9017
245	2938	9005
246	2948	8989
247	2962	8981
248	2972	8964
249	2984	8953
250	2996	8940
251	3009	8933
252	3020	8919
253	3032	8907
254	3045	8896
255	3058	8889
256	3071	8880
257	3085	8873
258	3099	8869
259	3111	8857
260	3125	8850
261	3139	8843
262	3153	8835
263	3163	8819
264	3174	8804
265	3187	8794
266	3199	8784
267	3209	8766
268	3221	8755
269	3234	8746
270	3245	8729
271	3257	8717
272	3269	8707
273	3282	8698
274	3296	8689
275	3308	8677
276	3319	8664
277	3331	8653
278	3344	8641
279	3354	8624
280	3366	8613
281	3377	8598
282	3389	8588
283	3400	8573
284	3413	8563
285	3426	8554
286	3439	8545
287	3449	8527
288	3462	8517
289	3473	8504
290	3484	8488
291	3496	8477
292	3509	8468
293	3521	8455
294	3532	8441
295	3544	8430
296	3556	8418
297	3567	8402
298	3578	8390
299	3591	8379
300	3601	8362
301	3613	8351
302	3626	8341
303	3638	8330
304	3649	8317
305	3662	8305
306	3674	8294
307	3687	8284
308	3701	8277
309	3714	8267
310	3727	8256
311	3740	8248
312	3753	8239
313	3765	8225
314	3776	8212
315	3788	8200
316	3799	8186
317	3810	8171
318	3823	8162
319	3837	8154
320	3850	8144
321	3864	8136
322	3879	8130
323	3898	8134
324	3913	8127
325	3927	8121
